player_id,player,estimated_skill_mean
575,ReiToR,-0.29312235
900,inNirvana,-0.29569796
297,Coffee,-0.29682696
812,Vanya,-0.29695237
276,AK,-0.2970563
906,KingCobra,-0.3033156
610,MiNiCrow,-0.30816492
306,Hui,-0.3169416
327,Bioice,-0.31753755
412,RiSky,-0.32044435
721,Gerald,-0.32696426
491,Mix,-0.32945573
312,cheetos,-0.33312842
761,ElhayM,-0.33659428
838,SKillous,-0.33861277
469,Stalife,-0.3443842
612,MouLou,-0.35052222
345,Cloudy,-0.35176754
911,Relmer,-0.35177192
837,MegaFonzie,-0.35261208
942,AqueroN,-0.35266277
739,frozz,-0.3623282
415,Pokebunny,-0.36374596
519,Trace,-0.3657056
429,Zeal,-0.36580777
332,GAMETIME,-0.36651418
444,EJK,-0.37428996
892,giX,-0.3753077
778,POX,-0.37962285
300,desRow,-0.3800951
783,FIGHTO,-0.38322124
377,Raze,-0.38649994
685,Forsen,-0.39379677
792,Exia,-0.39547086
458,Rine,-0.39547178
361,Capoch,-0.40207765
871,Ver,-0.40423656
420,Ziggy,-0.4083009
264,NXZ,-0.41037452
950,ShinO,-0.41094536
314,Winter,-0.4127256
799,aGaham,-0.4151618
426,ToXiC,-0.41986072
305,Revenant,-0.4204321
727,Hannibal,-0.42146885
655,JaXx,-0.4236616
827,cHoBo,-0.42736727
196,Probe,-0.42773888
315,NonY,-0.43275025
910,RusZerg,-0.4394096
432,Destiny,-0.44366634
449,NucleaR,-0.44446307
678,xEi,-0.44675782
617,StrifeCro,-0.4541939
732,Outside,-0.46139884
647,Mamuri,-0.4625978
511,Perfect,-0.462866
947,Rinka,-0.4632781
915,Gow,-0.46724227
764,goblin,-0.4727705
933,Breach,-0.47342503
920,yunga,-0.47816578
809,yang,-0.4817335
424,AcRo,-0.48273534
862,JayPower,-0.48366287
860,omgabanana,-0.48732793
669,hinO,-0.48772535
698,MetHiX,-0.49404186
439,Ezrc,-0.49567345
994,Lisandro,-0.49910688
932,Kimo,-0.50059414
805,Snuffe,-0.50248575
238,Rex,-0.5080254
632,Rotab,-0.51489395
639,Honor,-0.51509595
497,iNkA,-0.51658803
348,Erik,-0.5194686
896,Virium,-0.5242311
657,MCanning,-0.5266849
465,YoGo,-0.52899075
957,nExt,-0.53209144
636,Evaner,-0.5419432
471,Arctur,-0.5457538
868,funkay,-0.54863966
653,sWs,-0.5526122
880,BuRning,-0.5530271
682,Epic,-0.55588025
385,RuFF,-0.5602917
954,Nitix,-0.5623531
814,Caliber,-0.5676623
945,nukestrike,-0.5728261
926,Gretorp,-0.57895595
826,Railgan,-0.5820388
386,Machine,-0.58708465
843,Lightning,-0.58943206
992,Avokado,-0.59664506
747,ho8ot,-0.6019006
798,velego,-0.60255194
343,MightyKiwi,-0.60348827
488,kauP,-0.60574573
573,DrakE,-0.6062838
549,Zazu,-0.60764086
908,delete,-0.61050177
418,Eeel,-0.61146533
403,Lau,-0.6138335
640,Spades,-0.6179347
436,Sioras,-0.6231122
866,Spartfire,-0.624619
595,CPU,-0.6246983
341,Rushcrazy,-0.6252489
700,KnowMe,-0.637107
466,Tilea,-0.6436466
948,whiteant,-0.6546038
618,Albion,-0.65883416
620,Mamba,-0.6615439
695,Myuu,-0.6642612
514,inuh,-0.6657757
553,Rodzyn,-0.67371047
960,Dylayn,-0.68203914
468,SaberAltoria,-0.6857147
545,Cuddlebear,-0.6936788
936,SatO,-0.69518805
795,Jade,-0.6960915
621,Mekar,-0.7037618
613,Cladorhiza,-0.70593387
899,GraVe,-0.7078727
506,Flare,-0.7084001
290,Maker,-0.7099995
317,Punk,-0.7111893
422,SolO,-0.715251
886,Friend,-0.7160086
709,Creed,-0.71685725
998,Nanaki,-0.7231432
362,LoLvsxD,-0.726385
927,HasHe,-0.7330343
822,ColdScars,-0.7395983
903,Easy,-0.74126446
434,MeomaikA,-0.7435853
752,Agh,-0.7471585
735,Cube,-0.74873126
417,Evire,-0.75619245
958,waCK,-0.7617709
578,SonG,-0.7678315
392,ABomB,-0.767905
489,Sakya,-0.7710296
328,DemiLove,-0.775578
496,Zycart,-0.7810321
619,Narcotic,-0.7813749
614,Storm,-0.78822064
546,Siphonn,-0.78973866
757,Zelniq,-0.7946618
887,Tesla,-0.7965839
708,borrex,-0.80056334
443,iNcontroL,-0.8065099
554,HeltEn,-0.80686295
405,Darkness,-0.8125811
485,Vanilla,-0.81259924
803,KroLu,-0.8138685
473,JoJo,-0.81759256
354,Bistork,-0.8220267
991,kAnJi,-0.8324179
672,FuturE,-0.8495133
796,MythiC,-0.85057145
455,Alopex,-0.8552292
676,Origine,-0.8592919
779,Rmdx,-0.86094785
515,ProAnnn,-0.8610898
652,Bones,-0.87440705
889,qbeN,-0.88740015
360,Fist,-0.89072615
673,LzGaMeR,-0.89107084
767,Multi,-0.8914673
965,DisK,-0.8988342
631,Utopi,-0.92458063
804,MygraiN,-0.9277938
453,BLord,-0.9278257
376,PSiArc,-0.9280514
702,danO,-0.93117625
474,Frustration,-0.9331505
605,Shibbxyz,-0.934719
810,HuShang,-0.9464402
446,KleeneX,-0.9489677
943,Chelovek,-0.9573245
603,NarutO,-0.9603392
963,Vindicta,-0.96373224
591,Lobo,-0.9775101
609,Fenner,-0.9879109
558,Gemini,-0.99057627
584,Jason,-0.99193144
930,QuanChi,-0.9920279
756,Rotcod,-0.99236673
666,Zan,-1.0041605
500,PuPu,-1.0059619
370,Rose,-1.0102036
736,Ryze,-1.016391
622,StakimaN,-1.0195029
938,PsychO,-1.0197394
659,Law,-1.0207907
823,DarkCell,-1.0217562
733,Nedi,-1.0252198
984,Tallahassee,-1.0278977
627,ZKO,-1.0300602
725,VeniVidiVins,-1.046207
540,Creature,-1.048677
935,Nomatch,-1.0521635
797,Bouli,-1.0541601
788,Operator,-1.0574292
651,Voltz,-1.0670928
331,ByRada,-1.0736815
722,Matiz,-1.0774544
686,Personal,-1.0851368
940,Khyira,-1.0858152
836,Druzdil,-1.0864581
509,HuT,-1.0944346
875,Fiasco,-1.1008363
413,Crimson,-1.1108359
989,KoyoT,-1.1159908
877,TrOn,-1.118443
833,Lucifer,-1.1274278
781,control,-1.1300975
710,Marsman,-1.130389
768,ArchangeL,-1.1311418
931,Silvano,-1.139082
993,ImmortalPasT,-1.1397467
462,Pezz,-1.1619127
674,Kitsune,-1.1701149
583,BsK,-1.1704556
849,etidrood,-1.1739593
813,Matvey,-1.1740307
830,Towelie,-1.1810763
865,JoCeLyN,-1.1853452
766,WarreN,-1.1853951
404,Azure,-1.1859481
773,Dolan,-1.1960598
901,ARze,-1.1997086
850,Spazymazy,-1.2055357
791,SenSei,-1.2112486
522,Wally,-1.2171756
744,Calt,-1.2224629
594,Scythe,-1.2322841
731,hG,-1.2350961
753,ThisIsJimmy,-1.2437385
806,Adrian,-1.2489724
759,Farmcakes,-1.2513312
353,Yekke,-1.2647356
755,Pox,-1.2769655
881,GogojOey,-1.2795955
774,Nathanias,-1.2808331
879,Bonkarooni,-1.2934976
928,Shew,-1.2985709
831,Malice,-1.3199599
410,Ryu,-1.3275886
633,Aicy,-1.3293785
521,JaBiTo,-1.3321631
924,PulSe,-1.3321775
983,MystiC,-1.351872
507,ScaM,-1.3584996
919,PappiJoe,-1.3687489
937,maTTzour,-1.3701313
923,jumanjii,-1.3804021
893,McMonroe,-1.3817638
572,starkiller,-1.3913815
790,FireZerg,-1.3931817
758,Phantom,-1.395961
897,xKawaiian,-1.411597
667,Haspe,-1.413775
852,Tonho,-1.4160666
749,TheoRy,-1.4181625
734,RazerBlader,-1.4302601
668,jheffe,-1.4331589
658,Azz,-1.4334232
526,SirRobin,-1.4352307
683,Firefly,-1.4371445
677,eGGz,-1.4717057
961,HolyHit,-1.4747412
966,EnigMa,-1.4748495
956,CruiseR,-1.4755276
689,Spectrum,-1.4757869
729,Geeden,-1.47773
815,Nistic,-1.4919649
953,CharSiuBao,-1.4994545
684,Revolution,-1.5012861
848,Duolonn,-1.5041091
789,Rengen,-1.5070695
855,TheZergLord,-1.5150626
524,Civi,-1.5159291
895,TAGurPRGNANT,-1.5225195
975,Tactyle,-1.5358924
568,Shakti,-1.541088
988,Prabuty,-1.545179
699,avilo,-1.5575911
780,Wilko,-1.5606956
882,Gremory,-1.5634028
949,NeXa,-1.5857152
968,Garitos,-1.586017
663,Satu,-1.5888125
981,kel,-1.6045365
925,CalebAracous,-1.6125667
841,Petrify,-1.6160698
934,Neuro,-1.6234976
582,YHY,-1.6293533
480,Smile,-1.6322069
854,MasTeR,-1.6335115
891,DominiC,-1.6447895
856,Titan,-1.650726
680,LeeLee,-1.653064
916,Xaoras,-1.6543509
703,Jamesykins,-1.6602108
493,Sparrow,-1.6604506
604,PengWin,-1.6718205
802,GamerRichy,-1.6764431
883,NEEK,-1.6765361
885,Chobosniper,-1.67908
563,Kyzer,-1.6799968
318,Tunico,-1.6809404
811,LuckyFool,-1.6825986
641,wiNgiAN,-1.6868652
531,Peppy,-1.6871907
782,Deranging,-1.6970698
529,Yours,-1.6981745
625,rANDY,-1.7021587
869,Hjax,-1.7048922
825,Orion,-1.704908
765,Malcolm,-1.7293726
970,msrm,-1.7375098
952,aconcises,-1.7570884
472,Cell,-1.7660387
842,FightingFrog,-1.7732654
777,StoicWilly,-1.7814353
794,SteAdfaSt,-1.785086
624,DyyS,-1.786096
972,Overmind,-1.8050536
746,Future,-1.8234915
745,EndOfLine,-1.8268569
600,Vaisravana,-1.8443587
737,Exehn,-1.851329
864,Dane,-1.8892518
872,NukeLar,-1.899404
580,DarK,-1.9061035
535,DakkoN,-1.9081259
772,Hymy,-1.9270313
939,Freeman,-1.9668858
828,ghasT,-1.9982328
962,Morpheus,-2.0269315
818,Early,-2.0330024
987,Keiras,-2.0667818
694,Stallion,-2.0921943
921,Milka,-2.12129
941,niceq,-2.126874
851,SwitchBack,-2.1313877
581,Pacomike,-2.1414366
912,CealeR,-2.1488023
990,WoodedMicrob,-2.1579347
964,BluE,-2.185386
876,Stormz,-2.2002456
642,Sugar,-2.2185626
775,Blast,-2.2279744
835,Shadowbites,-2.251042
845,PurpleHAzE,-2.2596972
844,StriKE,-2.27584
687,Kez,-2.291628
730,Rize,-2.2928288
904,MperorM,-2.3236482
870,MorDka,-2.3524482
861,Darroweve,-2.37655
834,Chase,-2.392221
874,Soundwave,-2.4361062
929,ZenedoR,-2.4441025
905,Arnovic,-2.4620237
907,Arkthelegend,-2.476351
917,EGG,-2.503306
714,RunaMoK,-2.5317934
922,AlisoN,-2.5579302
985,Xormentor,-2.564881
971,Nefaste,-2.6035209
705,KiFirE,-2.6507697
967,fallenger,-2.6747737
771,Schnitzel,-2.698116
878,Zinho,-2.7719045
980,HaPe,-2.81357
888,PainGamer,-2.8397117
763,MaGiK,-2.9099917
995,Vivid,-2.9490545
670,SLeet,-2.9513307
974,SqrtofnegOne,-2.99545
713,Luolis,-3.0164459
973,Phoenix,-3.027396
977,ZenAku,-3.0841465
914,ProzeR,-3.145672
743,Bonobo,-3.147809
890,Fullmetal,-3.1490397
982,MeCh,-3.1903982
976,Voidreaver,-3.2452064
847,Arrival,-3.2597182
898,EON,-3.267903
909,NaMeK,-3.3350456
946,picur,-3.356407
662,Seigifried,-3.4224968
858,Wardi,-3.4622333
969,Hupsaiya,-3.6674225
902,Poizon,-3.8554971
819,CaVaLieR,-4.1863546
645,Elusory,-4.238649
873,Ascarecrow,-4.5028934
800,Ice,-5.2618284
